Model,n,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score,codebleu_3component
Claude,121,0.4647,0.0005,0.0004,0.858,0,0.2863
Qwen2.5,121,0.4208,0.0003,0.0003,0.6827,0,0.2278
